keyword,category,        
ABN AMRO SCHADEV, , 
AH to Go, Groceries, 
AH togo, Groceries, 
Action, , 
Aldi, Groceries, 
Albert Heijn, Groceries, 
ASR SCHADEVERZEKERING, , 
Amazon, , 
BELASTINGDIENST, , 
Bakkerij Bekkers, , 
BCC, , 
Bijenkorf, , 
Blokker, , 
Bol.com, , 
Brabant Water, , 
Coop, , 
Coolblue, , 
Decathlon, , 
Dropbox, Software, 
Etos, , 
Freo, , 
Gamma, Home Improvement, 
Gall&Gall, , 
Geldmaat, , 
Greenchoice, , 
HEMA, , 
H&M, , 
HBO Max, , 
Hartstichting, , 
H & M, , 
Hornbach, , 
Hunkemoller, , 
IKEA, , 
Jumbo, Groceries, 
KARWEI, , 
Korein, , 
KPN, , 
Kruidvat, , 
Kwantum, , 
Lidl, , 
MediaMarkt, , 
Menzis, , 
NS REIZIGERS, Transport, 
Picnic, Groceries, 
Plus, , 
Praxis, , 
Primark, , 
Revolut, , 
Shell, , 
Spar, , 
SkyShowtime, , 
Netflix, , 
Thermae Son, , 
Tinq, , 
Uniqlo, , 
Wehkamp, , 
Zalando, , 
Zwembadson, , 
